Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Max,Avg,Min,,,,
100,75.5,49,,,,
91,85.9,79,,,,
94,73.6,48,,,,
100,87.4,66,,,,
100,78.0,53,,,,
97,75.9,50,,,,
90,76.6,54,,,,
100,90.8,74,,,,
100,90.8,69,,,,
100,80.6,53,,,,
97,88.4,79,,,,
100,91.5,72,,,,
100,89.8,76,,,,
100,69.2,41,,,,
87,68.8,54,,,,
100,92.8,83,,,,
100,82.9,58,,,,
96,79.7,42,,,,
100,88.8,75,,,,
100,72.4,50,,,,
96,74.7,50,,,,
100,81.2,63,,,,
100,86.6,69,,,,
100,84.1,55,,,,
90,64.4,40,,,,
68,50.7,31,,,,
97,76.4,45,,,,
100,79.9,48,,,,
100,92.3,78,,,,
72,57.0,38,,,,
90,70.8,46,,,,
Max,Avg,Min,,,,
12,5.3,0,,,,
20,12.1,5,,,,
20,10.6,0,,,,
44,17.2,0,,,,
13,8.0,0,,,,
9,3.5,0,,,,
12,5.4,0,,,,
12,5.0,0,,,,
15,5.8,0,,,,
16,9.3,3,,,,
15,10.2,3,,,,
12,5.9,0,,,,
7,2.0,0,,,,
15,8.4,3,,,,
16,11.1,6,,,,
17,12.4,8,,,,
16,7.7,3,,,,
13,6.4,0,,,,
9,3.4,0,,,,
10,6.3,3,,,,
17,9.9,5,,,,
17,8.6,0,,,,
13,6.6,0,,,,
13,6.2,0,,,,
18,9.5,0,,,,
16,10.3,0,,,,
18,7.3,0,,,,
15,9.4,3,,,,
18,10.2,5,,,,
20,11.5,3,,,,
12,6.5,0,,,,
Max,Avg,Min,,,,
29.9,29.8,29.7,,,,
29.9,29.8,29.8,,,,
30.0,29.9,29.8,,,,
30.0,29.8,29.5,,,,
29.9,29.9,29.8,,,,
30.0,30.0,29.9,,,,
30.0,30.0,30.0,,,,
30.1,30.0,30.0,,,,
30.0,30.0,29.9,,,,
29.9,29.9,29.9,,,,
29.9,29.9,29.8,,,,
29.9,29.9,29.9,,,,
30.0,30.0,29.9,,,,
29.9,29.9,29.9,,,,
29.9,29.9,29.9,,,,
29.9,29.8,29.8,,,,
29.8,29.8,29.8,,,,
29.8,29.7,29.7,,,,
29.9,29.8,29.8,,,,
30.0,29.9,29.9,,,,
29.9,29.9,29.8,,,,
29.9,29.8,29.8,,,,
30.0,29.9,29.9,,,,
29.9,29.9,29.8,,,,
29.8,29.7,29.6,,,,
29.8,29.8,29.7,,,,
29.8,29.6,29.5,,,,
29.7,29.7,29.6,,,,
29.7,29.5,29.4,,,,
29.9,29.6,29.4,,,,
30.0,30.0,29.9,,,,
Total,,,,,,
0.52,,,,,,
0.00,,,,,,
0.00,,,,,,
0.03,,,,,,
0.14,,,,,,
0.00,,,,,,
0.02,,,,,,
0.05,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.45,,,,,,
0.00,,,,,,
0.02,,,,,,
0.00,,,,,,
0.05,,,,,,
0.75,,,,,,
0.91,,,,,,
0.00,,,,,,
0.30,,,,,,
0.00,,,,,,
0.00,,,,,,
0.01,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.28,,,,,,
0.00,,,,,,
0.24,,,,,,
0.00,,,,,,
