Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
Max,Avg,Min,,,,
22,13.4,9,,,,
18,12.0,9,,,,
32,26.9,17,,,,
51,39.4,32,,,,
42,36.0,33,,,,
37,34.6,32,,,,
35,33.8,31,,,,
36,35.0,33,,,,
55,44.0,39,,,,
41,39.0,36,,,,
38,35.3,32,,,,
36,32.4,29,,,,
32,29.1,26,,,,
32,28.6,27,,,,
42,38.6,32,,,,
49,44.1,41,,,,
45,41.1,35,,,,
42,40.9,39,,,,
44,39.9,37,,,,
44,41.4,39,,,,
44,41.0,35,,,,
38,33.9,31,,,,
35,32.9,31,,,,
36,33.4,31,,,,
37,32.8,29,,,,
36,34.9,34,,,,
37,35.3,33,,,,
37,35.3,33,,,,
Max,Avg,Min,,,,
57,38.9,28,,,,
54,39.0,29,,,,
96,81.8,50,,,,
100,94.8,80,,,,
100,95.2,89,,,,
97,87.5,73,,,,
100,91.6,82,,,,
100,96.2,89,,,,
100,90.4,66,,,,
93,77.7,61,,,,
93,77.1,49,,,,
100,87.7,52,,,,
100,68.4,39,,,,
79,59.5,46,,,,
100,91.5,67,,,,
100,99.3,93,,,,
100,85.1,53,,,,
100,90.7,80,,,,
100,86.1,63,,,,
100,91.6,80,,,,
100,93.6,82,,,,
100,95.3,71,,,,
96,84.0,68,,,,
96,86.1,73,,,,
100,83.2,54,,,,
96,85.5,74,,,,
97,86.0,65,,,,
93,77.0,54,,,,
Max,Avg,Min,,,,
39,27.9,14,,,,
38,29.5,21,,,,
21,15.4,7,,,,
18,14.0,3,,,,
12,6.0,0,,,,
15,8.0,0,,,,
12,6.0,0,,,,
26,11.8,0,,,,
25,14.3,3,,,,
15,10.0,0,,,,
6,1.5,0,,,,
10,2.8,0,,,,
18,9.6,0,,,,
24,10.9,0,,,,
25,17.4,12,,,,
21,10.2,0,,,,
10,3.0,0,,,,
12,6.0,0,,,,
21,10.4,3,,,,
16,6.2,0,,,,
14,3.0,0,,,,
9,1.9,0,,,,
9,3.7,0,,,,
13,6.4,0,,,,
6,2.7,0,,,,
15,8.8,3,,,,
16,8.2,0,,,,
10,5.3,0,,,,
Max,Avg,Min,,,,
30.2,30.1,30.1,,,,
30.1,30.0,29.9,,,,
29.8,29.6,29.4,,,,
29.7,29.7,29.6,,,,
29.7,29.5,29.2,,,,
29.8,29.6,29.3,,,,
30.0,29.7,29.5,,,,
30.0,29.8,29.5,,,,
29.7,29.5,29.4,,,,
30.3,29.9,29.7,,,,
30.5,30.4,30.3,,,,
30.5,30.4,30.3,,,,
30.3,30.2,30.1,,,,
30.1,30.0,29.9,,,,
29.9,29.7,29.5,,,,
29.8,29.6,29.4,,,,
29.8,29.6,29.4,,,,
29.5,29.4,29.4,,,,
29.6,29.5,29.4,,,,
29.7,29.6,29.4,,,,
30.2,29.9,29.6,,,,
30.2,30.2,30.1,,,,
30.3,30.2,30.2,,,,
30.2,30.2,30.1,,,,
30.3,30.2,30.0,,,,
29.9,29.7,29.7,,,,
29.8,29.8,29.8,,,,
30.3,30.1,29.9,,,,
Total,,,,,,
0.01,,,,,,
0.00,,,,,,
0.06,,,,,,
0.60,,,,,,
0.67,,,,,,
2.02,,,,,,
0.02,,,,,,
0.12,,,,,,
1.25,,,,,,
0.68,,,,,,
0.09,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.06,,,,,,
1.24,,,,,,
1.39,,,,,,
0.01,,,,,,
0.38,,,,,,
0.25,,,,,,
0.83,,,,,,
0.38,,,,,,
0.00,,,,,,
0.00,,,,,,
0.07,,,,,,
0.05,,,,,,
0.14,,,,,,
0.04,,,,,,
