Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
Max,Avg,Min,,,,
32,26.7,21,,,,
37,30.8,23,,,,
54,42.4,36,,,,
52,37.8,28,,,,
45,31.2,25,,,,
45,33.4,25,,,,
41,37.5,30,,,,
52,44.4,37,,,,
57,48.6,41,,,,
61,56.7,54,,,,
54,41.9,37,,,,
45,40.2,34,,,,
61,43.0,28,,,,
52,43.8,36,,,,
48,40.9,36,,,,
45,40.8,39,,,,
41,38.6,32,,,,
39,32.0,27,,,,
37,35.2,32,,,,
37,34.2,32,,,,
39,34.8,32,,,,
36,34.7,34,,,,
36,34.1,32,,,,
37,33.9,32,,,,
37,34.8,32,,,,
34,32.7,32,,,,
39,35.9,32,,,,
45,37.1,30,,,,
43,38.9,34,,,,
41,36.5,34,,,,
41,35.2,30,,,,
Max,Avg,Min,,,,
28,25.0,19,,,,
36,28.5,21,,,,
48,40.1,34,,,,
48,33.8,27,,,,
34,27.4,23,,,,
32,28.2,23,,,,
37,34.2,28,,,,
43,39.4,34,,,,
48,42.1,37,,,,
52,48.1,45,,,,
46,36.4,32,,,,
34,31.8,28,,,,
37,31.5,25,,,,
45,38.7,34,,,,
39,36.2,34,,,,
41,37.9,34,,,,
39,35.7,30,,,,
32,28.6,25,,,,
34,31.0,27,,,,
36,32.8,30,,,,
34,31.9,28,,,,
34,32.0,30,,,,
32,32.0,32,,,,
32,31.1,30,,,,
32,30.9,30,,,,
32,31.3,30,,,,
34,33.1,30,,,,
39,31.7,28,,,,
39,35.3,32,,,,
37,30.4,27,,,,
34,30.6,27,,,,
Max,Avg,Min,,,,
100,93.6,86,,,,
100,91.7,81,,,,
100,92.4,82,,,,
100,85.8,65,,,,
100,87.5,53,,,,
100,82.4,57,,,,
93,88.6,81,,,,
93,82.4,62,,,,
93,79.0,62,,,,
82,73.3,67,,,,
100,81.0,66,,,,
87,72.6,61,,,,
93,66.6,36,,,,
93,82.7,62,,,,
93,83.1,66,,,,
100,89.4,81,,,,
100,89.5,81,,,,
100,87.5,75,,,,
100,85.6,80,,,,
100,95.0,87,,,,
100,90.0,75,,,,
100,90.8,81,,,,
100,92.9,87,,,,
100,90.4,75,,,,
100,86.7,75,,,,
100,95.2,93,,,,
100,89.8,81,,,,
100,81.9,65,,,,
93,87.1,81,,,,
93,79.8,61,,,,
100,84.7,57,,,,
Max,Avg,Min,,,,
6,2.9,0,,,,
9,5.7,1,,,,
22,9.3,1,,,,
18,6.3,0,,,,
6,1.9,0,,,,
12,5.0,0,,,,
8,3.1,0,,,,
17,8.2,0,,,,
25,11.2,3,,,,
22,14.6,6,,,,
20,12.3,5,,,,
14,6.9,2,,,,
16,4.8,0,,,,
25,9.0,2,,,,
9,5.9,2,,,,
12,4.7,0,,,,
12,6.0,2,,,,
10,5.9,0,,,,
10,5.4,0,,,,
7,3.9,0,,,,
13,5.4,0,,,,
8,4.9,2,,,,
10,6.7,3,,,,
12,6.7,2,,,,
8,4.4,0,,,,
7,2.9,0,,,,
14,4.9,0,,,,
15,5.8,2,,,,
16,6.5,0,,,,
28,12.6,1,,,,
13,5.5,0,,,,
Max,Avg,Min,,,,
29.7,29.6,29.6,,,,
29.6,29.6,29.6,,,,
29.6,29.4,29.2,,,,
29.6,29.5,29.3,,,,
29.6,29.5,29.4,,,,
29.4,29.3,29.3,,,,
29.5,29.5,29.4,,,,
29.6,29.5,29.4,,,,
29.6,29.5,29.4,,,,
29.4,29.3,29.1,,,,
29.5,29.3,29.1,,,,
29.5,29.4,29.2,,,,
29.2,29.1,29.0,,,,
29.2,29.1,29.0,,,,
29.1,28.9,28.8,,,,
28.9,28.8,28.8,,,,
29.2,29.0,28.9,,,,
29.1,29.0,29.0,,,,
28.9,28.9,28.9,,,,
28.9,28.9,28.9,,,,
28.9,28.8,28.8,,,,
29.1,28.9,28.8,,,,
29.3,29.2,29.1,,,,
29.3,29.2,29.2,,,,
29.5,29.4,29.3,,,,
29.4,29.3,29.2,,,,
29.3,29.3,29.2,,,,
29.3,29.1,28.7,,,,
28.7,28.4,27.9,,,,
28.1,28.1,27.9,,,,
28.3,28.2,28.1,,,,
Total,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
