Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
57,53.2,52,,,,
59,54.5,50,,,,
59,55.6,54,,,,
55,49.5,41,,,,
50,47.1,43,,,,
52,46.3,45,,,,
50,49.0,48,,,,
55,53.2,50,,,,
54,52.5,48,,,,
54,50.4,46,,,,
52,43.2,28,,,,
48,45.6,43,,,,
54,49.2,46,,,,
54,48.4,43,,,,
52,46.3,39,,,,
52,48.4,43,,,,
55,49.2,43,,,,
46,43.4,39,,,,
41,38.5,36,,,,
52,46.2,36,,,,
57,54.0,52,,,,
Max,Avg,Min,,,,
68,62.0,52,,,,
82,67.2,60,,,,
60,55.6,46,,,,
68,57.2,46,,,,
73,63.0,49,,,,
94,75.4,60,,,,
88,64.3,49,,,,
72,57.9,46,,,,
72,63.8,52,,,,
82,68.5,60,,,,
94,79.7,60,,,,
88,77.1,64,,,,
82,59.8,46,,,,
77,67.7,55,,,,
88,64.8,49,,,,
82,69.7,59,,,,
94,83.0,68,,,,
94,74.3,59,,,,
88,71.7,59,,,,
82,56.3,41,,,,
76,59.5,45,,,,
77,66.4,49,,,,
82,69.7,59,,,,
77,66.6,51,,,,
82,68.3,59,,,,
82,63.7,40,,,,
76,64.3,48,,,,
66,56.0,48,,,,
68,61.0,55,,,,
82,68.0,60,,,,
Max,Avg,Min,,,,
10,5.4,1,,,,
10,6.2,2,,,,
15,9.5,5,,,,
12,6.6,2,,,,
14,9.3,5,,,,
23,8.1,2,,,,
14,6.0,1,,,,
17,8.3,3,,,,
12,6.5,0,,,,
10,7.0,3,,,,
8,5.8,3,,,,
13,6.4,3,,,,
14,8.7,5,,,,
14,6.3,1,,,,
14,8.9,2,,,,
14,7.8,0,,,,
12,6.7,3,,,,
17,9.9,5,,,,
12,8.8,6,,,,
17,10.7,7,,,,
9,5.6,2,,,,
10,6.8,2,,,,
7,5.0,2,,,,
15,8.6,2,,,,
7,4.6,1,,,,
15,9.3,2,,,,
23,15.2,6,,,,
13,8.6,6,,,,
21,13.0,3,,,,
18,12.9,7,,,,
Max,Avg,Min,,,,
30.1,30.1,30.0,,,,
30.1,30.1,30.0,,,,
30.0,29.9,29.9,,,,
30.0,30.0,29.9,,,,
30.0,29.9,29.8,,,,
29.8,29.7,29.7,,,,
29.9,29.8,29.8,,,,
30.0,30.0,29.9,,,,
30.1,30.0,30.0,,,,
30.0,29.9,29.9,,,,
29.9,29.8,29.8,,,,
29.8,29.7,29.6,,,,
29.5,29.5,29.4,,,,
29.6,29.5,29.5,,,,
29.8,29.7,29.7,,,,
29.7,29.7,29.7,,,,
29.8,29.7,29.7,,,,
29.9,29.8,29.8,,,,
29.9,29.8,29.8,,,,
30.1,30.0,29.9,,,,
30.1,30.1,30.0,,,,
30.1,30.1,30.1,,,,
30.1,30.1,30.1,,,,
30.1,30.1,30.1,,,,
30.1,30.0,30.0,,,,
29.9,29.9,29.9,,,,
30.0,29.9,29.9,,,,
30.0,30.0,30.0,,,,
29.9,29.8,29.7,,,,
29.7,29.7,29.6,,,,
Total,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
