Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
Max,Avg,Min,,,,
32,29.1,27,,,,
32,31.0,30,,,,
32,29.8,28,,,,
36,31.7,27,,,,
37,34.5,27,,,,
30,24.9,21,,,,
30,24.3,16,,,,
34,31.1,28,,,,
36,32.4,30,,,,
43,35.9,32,,,,
41,37.3,34,,,,
46,42.7,39,,,,
39,36.9,34,,,,
37,35.2,32,,,,
36,31.5,23,,,,
36,31.0,27,,,,
32,27.1,23,,,,
32,26.6,23,,,,
32,24.9,19,,,,
34,23.7,16,,,,
36,25.0,16,,,,
37,29.0,23,,,,
37,27.7,18,,,,
28,23.8,16,,,,
27,23.7,16,,,,
32,22.9,14,,,,
39,30.1,19,,,,
48,38.8,34,,,,
48,37.0,28,,,,
43,39.1,28,,,,
48,44.6,43,,,,
Max,Avg,Min,,,,
32,28.6,27,,,,
32,30.0,28,,,,
28,27.3,27,,,,
34,29.1,25,,,,
32,28.0,19,,,,
19,17.2,14,,,,
25,15.4,10,,,,
32,29.5,25,,,,
32,30.8,30,,,,
37,33.5,32,,,,
39,36.1,32,,,,
41,39.4,34,,,,
34,29.6,27,,,,
32,27.8,23,,,,
32,28.9,21,,,,
30,26.1,21,,,,
19,17.8,16,,,,
18,16.5,16,,,,
19,17.0,14,,,,
21,17.3,12,,,,
25,18.4,12,,,,
23,20.7,18,,,,
21,19.1,16,,,,
23,19.8,12,,,,
21,17.0,12,,,,
21,16.4,10,,,,
27,22.1,14,,,,
32,27.8,25,,,,
43,33.9,27,,,,
43,38.1,27,,,,
46,44.3,43,,,,
Max,Avg,Min,,,,
100,97.8,93,,,,
100,96.5,87,,,,
93,88.7,86,,,,
100,90.7,81,,,,
87,78.0,69,,,,
86,72.7,55,,,,
86,69.3,51,,,,
100,93.8,86,,,,
100,94.6,87,,,,
100,91.2,76,,,,
100,95.9,93,,,,
100,88.9,66,,,,
93,75.8,61,,,,
93,75.4,56,,,,
100,91.3,75,,,,
100,82.7,65,,,,
80,68.0,55,,,,
74,65.8,51,,,,
80,72.0,55,,,,
93,77.9,56,,,,
93,77.3,60,,,,
86,72.4,56,,,,
93,71.9,48,,,,
100,85.0,74,,,,
86,76.2,69,,,,
93,77.7,60,,,,
86,72.8,56,,,,
87,65.6,46,,,,
100,89.5,66,,,,
100,95.9,87,,,,
100,97.7,93,,,,
Max,Avg,Min,,,,
8,4.4,0,,,,
0,0.0,0,,,,
10,4.2,0,,,,
14,8.2,2,,,,
15,9.5,3,,,,
15,9.8,7,,,,
12,5.5,1,,,,
6,2.3,0,,,,
8,3.9,0,,,,
12,5.5,0,,,,
17,9.8,0,,,,
22,10.9,2,,,,
18,12.4,3,,,,
18,7.8,0,,,,
9,2.8,0,,,,
15,9.6,0,,,,
24,17.4,10,,,,
21,12.7,6,,,,
13,9.5,5,,,,
8,3.6,0,,,,
8,6.0,3,,,,
10,5.9,0,,,,
13,6.7,0,,,,
10,5.9,3,,,,
13,8.5,5,,,,
9,5.0,1,,,,
6,4.3,2,,,,
6,3.1,0,,,,
8,2.2,0,,,,
13,8.8,0,,,,
12,7.7,2,,,,
Max,Avg,Min,,,,
29.6,29.4,29.4,,,,
29.5,29.4,29.4,,,,
29.6,29.6,29.5,,,,
29.6,29.4,29.4,,,,
29.8,29.6,29.4,,,,
29.8,29.8,29.8,,,,
29.8,29.7,29.7,,,,
29.7,29.6,29.6,,,,
29.6,29.5,29.3,,,,
29.3,29.1,29.0,,,,
29.3,29.2,29.2,,,,
29.3,29.1,28.7,,,,
29.1,29.0,28.9,,,,
29.3,29.3,29.1,,,,
29.4,29.4,29.3,,,,
29.5,29.4,29.4,,,,
29.6,29.5,29.5,,,,
29.6,29.6,29.5,,,,
29.6,29.6,29.6,,,,
29.6,29.6,29.6,,,,
29.6,29.5,29.5,,,,
29.5,29.4,29.4,,,,
29.5,29.4,29.4,,,,
29.5,29.5,29.5,,,,
29.5,29.5,29.5,,,,
29.5,29.4,29.3,,,,
29.3,29.3,29.2,,,,
29.4,29.3,29.2,,,,
29.4,29.4,29.3,,,,
29.3,29.2,29.2,,,,
29.2,29.2,29.2,,,,
Total,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
