Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
Max,Avg,Min,,,,
9,-6.9,-22,,,,
-6,-20.1,-36,,,,
5,-11.2,-26,,,,
16,-3.3,-22,,,,
18,2.4,-11,,,,
5,-2.1,-13,,,,
10,5.8,-2,,,,
19,16.2,10,,,,
23,7.5,-8,,,,
27,6.2,-9,,,,
39,23.2,10,,,,
37,30.7,19,,,,
34,20.6,7,,,,
32,17.1,1,,,,
39,26.8,12,,,,
37,21.1,5,,,,
41,29.4,18,,,,
46,33.3,18,,,,
48,32.9,18,,,,
48,33.5,18,,,,
45,31.6,19,,,,
48,33.9,23,,,,
34,27.4,18,,,,
34,32.3,32,,,,
36,32.6,30,,,,
34,32.9,32,,,,
39,34.3,28,,,,
45,33.3,21,,,,
46,35.5,23,,,,
48,38.5,27,,,,
43,36.2,32,,,,
Max,Avg,Min,,,,
-4,-14.8,-27,,,,
-18,-27.8,-42,,,,
-13,-21.8,-31,,,,
-2,-14.5,-27,,,,
1,-7.7,-18,,,,
1,-6.3,-18,,,,
7,0.5,-6,,,,
16,12.3,7,,,,
16,2.0,-11,,,,
14,-0.7,-15,,,,
27,14.4,5,,,,
21,16.8,12,,,,
19,13.3,3,,,,
16,9.0,-4,,,,
23,17.3,7,,,,
21,12.1,1,,,,
30,20.6,10,,,,
27,19.5,10,,,,
28,20.4,12,,,,
28,23.1,14,,,,
34,26.2,16,,,,
34,28.7,23,,,,
34,26.6,16,,,,
32,31.7,30,,,,
32,31.0,30,,,,
34,32.3,32,,,,
32,29.8,27,,,,
32,26.8,21,,,,
30,26.0,21,,,,
30,26.8,23,,,,
30,27.6,25,,,,
Max,Avg,Min,,,,
78,69.0,52,,,,
76,68.5,55,,,,
76,60.8,43,,,,
76,60.2,41,,,,
85,64.0,42,,,,
85,82.2,77,,,,
92,78.4,67,,,,
93,84.8,79,,,,
93,79.7,50,,,,
92,74.0,58,,,,
93,69.7,51,,,,
93,57.5,38,,,,
93,74.9,52,,,,
93,71.8,47,,,,
86,69.2,45,,,,
93,71.3,38,,,,
80,70.4,56,,,,
86,59.5,37,,,,
86,62.1,34,,,,
93,67.4,40,,,,
100,80.4,56,,,,
100,83.7,50,,,,
100,96.8,93,,,,
100,97.8,93,,,,
100,94.4,87,,,,
100,97.8,93,,,,
100,84.6,65,,,,
100,79.2,57,,,,
93,71.5,40,,,,
93,64.8,43,,,,
87,72.0,53,,,,
Max,Avg,Min,,,,
14,9.3,3,,,,
9,5.0,2,,,,
8,4.7,0,,,,
9,5.7,2,,,,
10,4.8,2,,,,
18,9.1,0,,,,
17,7.3,2,,,,
15,8.3,2,,,,
8,4.4,0,,,,
8,5.6,2,,,,
12,5.5,0,,,,
16,6.7,2,,,,
12,6.0,0,,,,
12,7.0,3,,,,
12,6.2,0,,,,
8,5.2,2,,,,
9,5.8,3,,,,
8,5.6,2,,,,
8,5.2,0,,,,
7,4.2,0,,,,
12,4.8,0,,,,
12,5.0,0,,,,
13,4.1,0,,,,
16,8.6,2,,,,
16,10.4,5,,,,
10,5.0,0,,,,
12,7.5,0,,,,
14,5.9,2,,,,
8,4.4,0,,,,
21,9.0,0,,,,
15,6.2,0,,,,
Max,Avg,Min,,,,
27.4,27.2,26.9,,,,
27.4,27.4,27.4,,,,
27.4,27.4,27.3,,,,
27.3,27.2,27.2,,,,
27.2,27.1,27.1,,,,
27.1,27.0,26.8,,,,
26.7,26.6,26.6,,,,
26.7,26.6,26.6,,,,
26.8,26.8,26.7,,,,
26.9,26.8,26.7,,,,
26.7,26.5,26.4,,,,
26.7,26.5,26.4,,,,
27.1,26.9,26.7,,,,
27.1,27.1,27.0,,,,
27.1,27.0,27.0,,,,
27.2,27.1,27.1,,,,
27.2,27.1,27.1,,,,
27.2,27.1,27.1,,,,
27.1,27.1,27.0,,,,
27.1,27.0,27.0,,,,
27.0,27.0,26.9,,,,
26.9,26.8,26.7,,,,
27.1,26.9,26.8,,,,
27.2,27.1,27.1,,,,
27.1,26.9,26.8,,,,
26.8,26.7,26.7,,,,
27.1,27.0,26.8,,,,
27.1,27.1,27.0,,,,
27.2,27.2,27.1,,,,
27.2,27.2,27.1,,,,
27.2,27.1,27.1,,,,
Total,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
