Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
Max,Avg,Min,,,,
70,61.4,50,,,,
75,65.7,57,,,,
72,65.0,54,,,,
75,68.5,57,,,,
86,73.8,57,,,,
77,71.3,63,,,,
79,68.8,63,,,,
75,68.2,59,,,,
75,67.2,59,,,,
73,67.4,61,,,,
70,66.9,61,,,,
70,63.9,55,,,,
75,66.2,52,,,,
81,72.5,61,,,,
88,73.7,61,,,,
77,69.1,63,,,,
73,66.7,59,,,,
72,66.1,54,,,,
82,72.6,63,,,,
84,75.2,59,,,,
73,67.9,64,,,,
68,59.3,52,,,,
70,60.7,48,,,,
66,59.8,54,,,,
70,62.2,52,,,,
68,63.6,55,,,,
70,65.4,59,,,,
66,62.1,57,,,,
68,60.7,50,,,,
77,65.7,52,,,,
75,67.0,55,,,,
Max,Avg,Min,,,,
55,49.2,43,,,,
54,48.4,45,,,,
59,51.9,46,,,,
59,52.4,46,,,,
63,56.2,52,,,,
63,57.2,48,,,,
63,57.0,50,,,,
59,54.0,46,,,,
61,55.9,50,,,,
59,53.4,50,,,,
54,50.9,46,,,,
54,48.5,37,,,,
52,43.0,34,,,,
52,48.3,43,,,,
59,48.9,41,,,,
61,56.5,50,,,,
63,58.6,57,,,,
61,57.5,54,,,,
59,49.8,45,,,,
55,47.8,41,,,,
63,55.1,45,,,,
59,51.8,36,,,,
57,49.5,45,,,,
55,53.1,50,,,,
55,51.3,48,,,,
59,55.5,54,,,,
59,53.9,46,,,,
52,45.4,39,,,,
54,48.1,41,,,,
50,41.7,34,,,,
61,52.5,36,,,,
Max,Avg,Min,,,,
88,65.7,49,,,,
82,55.6,34,,,,
88,64.2,46,,,,
77,57.5,43,,,,
94,56.3,39,,,,
100,62.8,36,,,,
94,67.7,36,,,,
83,61.9,38,,,,
88,69.2,41,,,,
68,61.2,47,,,,
68,56.9,43,,,,
88,59.4,31,,,,
76,45.9,23,,,,
68,43.9,28,,,,
73,45.3,22,,,,
83,65.3,41,,,,
94,76.8,57,,,,
100,66.2,0,,,,
77,47.4,26,,,,
68,39.5,24,,,,
94,65.3,40,,,,
94,77.3,39,,,,
94,69.2,40,,,,
94,79.0,64,,,,
94,69.3,46,,,,
94,75.3,60,,,,
100,68.0,49,,,,
82,55.5,42,,,,
88,63.7,49,,,,
76,45.0,22,,,,
77,60.6,28,,,,
Max,Avg,Min,,,,
13,6.8,0,,,,
10,5.4,1,,,,
12,6.0,1,,,,
12,5.6,0,,,,
12,5.5,0,,,,
12,6.1,0,,,,
15,8.4,3,,,,
12,5.9,1,,,,
14,7.1,3,,,,
29,12.9,5,,,,
20,14.4,8,,,,
13,7.6,2,,,,
10,5.8,0,,,,
10,6.4,0,,,,
16,9.4,3,,,,
15,7.2,1,,,,
12,5.3,1,,,,
12,5.8,0,,,,
18,8.5,0,,,,
14,8.5,3,,,,
10,5.7,1,,,,
12,5.4,1,,,,
13,6.3,2,,,,
13,7.4,2,,,,
12,6.7,1,,,,
15,5.7,1,,,,
18,12.7,5,,,,
20,13.1,0,,,,
15,9.7,0,,,,
15,7.6,1,,,,
10,6.8,1,,,,
Max,Avg,Min,,,,
29.9,29.8,29.8,,,,
29.8,29.7,29.7,,,,
29.8,29.1,0.0,,,,
29.8,29.8,29.8,,,,
29.8,29.7,29.7,,,,
29.8,29.7,29.7,,,,
29.8,29.7,29.7,,,,
29.8,29.8,29.7,,,,
29.8,29.8,29.7,,,,
30.0,29.9,29.8,,,,
30.0,30.0,30.0,,,,
30.1,30.0,30.0,,,,
30.0,29.9,29.9,,,,
29.9,29.7,29.6,,,,
29.6,29.6,29.6,,,,
29.9,29.8,29.6,,,,
29.9,29.8,29.8,,,,
29.8,29.7,29.6,,,,
29.7,29.6,29.6,,,,
29.7,29.6,29.6,,,,
29.8,29.7,29.7,,,,
29.7,29.6,29.6,,,,
29.7,29.7,29.6,,,,
29.8,29.7,29.7,,,,
29.7,29.7,29.7,,,,
29.7,29.6,29.6,,,,
29.7,29.7,29.6,,,,
29.8,29.8,29.7,,,,
29.9,29.8,29.8,,,,
29.8,29.8,29.8,,,,
29.9,29.8,29.8,,,,
Total,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
0.00,,,,,,
